"Name","Label","Concept","Required","Attributes","Limit","Predicate Type","Group"
"C24010_001E","Estimate!!Total","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_001EA","Annotation of Estimate!!Total","","predicate-only","","0","string","C24010"
"C24010_001M","Margin of Error!!Total","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_001MA","Annotation of Margin of Error!!Total","","predicate-only","","0","string","C24010"
"C24010_002E","Estimate!!Total!!Male","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_002EA","Annotation of Estimate!!Total!!Male","","predicate-only","","0","string","C24010"
"C24010_002M","Margin of Error!!Total!!Male","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_002MA","Annotation of Margin of Error!!Total!!Male","","predicate-only","","0","string","C24010"
"C24010_003E","Estimate!!Total!!Male!!Management, business, science, and arts occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_003EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations","","predicate-only","","0","string","C24010"
"C24010_003M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_003MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations","","predicate-only","","0","string","C24010"
"C24010_004E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_004EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","","predicate-only","","0","string","C24010"
"C24010_004M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_004MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","","predicate-only","","0","string","C24010"
"C24010_005E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_005EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","","predicate-only","","0","string","C24010"
"C24010_005M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_005MA","Annotation of Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","","predicate-only","","0","string","C24010"
"C24010_006E","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
"C24010_006EA","Annotation of Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","","predicate-only","","0","string","C24010"
"C24010_006M","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","predicate-only","","0","int","C24010"
